date,state,positive
20200425,AS,0
20200425,AZ,6280
20200425,CA,41137
20200425,CO,12256
20200425,CT,24582
20200425,DC,3699
20200425,DE,3576
20200425,FL,30839
20200425,GA,22695
20200425,GU,141
20200425,HI,601
20200425,IA,5092
20200425,ID,1870
20200425,IL,41777
20200425,IN,14395
20200425,KS,3056
20200425,KY,3779
20200425,LA,26512
20200425,MA,53348
20200425,MD,17766
20200425,ME,990
20200425,MI,37203
20200425,MN,3446
20200425,MO,6826
20200425,MP,14
20200425,MS,5718
20200425,MT,445
20200425,NC,8623
20200425,ND,803
20200425,NE,2421
20200425,NH,1720
20200425,NJ,105523
20200425,NM,2521
20200425,NV,4539
20200425,NY,282143
20200425,OH,14983
20200425,OK,3193
20200425,OR,2253
20200425,PA,40049
20200425,PR,1307
20200425,RI,7129
20200425,SC,5253
20200425,SD,2147
20200425,TN,9189
20200425,TX,23773
20200425,UT,3948
20200425,VA,11902
20200425,VI,55
20200425,VT,843
20200425,WA,13521
20200425,WI,5687
20200425,WV,1020
20200425,WY,349
20200424,AK,339
20200424,AL,5832
20200424,AR,2741
20200424,AS,0
20200424,AZ,6045
20200424,CA,39254
20200424,CO,11262
20200424,CT,23921
20200424,DC,3528
20200424,DE,3442
20200424,FL,30174
20200424,GA,22147
20200424,GU,141
20200424,HI,596
20200424,IA,4445
20200424,ID,1836
20200424,IL,39658
20200424,IN,13680
20200424,KS,2777
20200424,KY,3481
20200424,LA,26140
20200424,MA,50969
20200424,MD,16616
20200424,ME,965
20200424,MI,36641
20200424,MN,3185
20200424,MO,6625
20200424,MP,14
20200424,MS,5434
20200424,MT,444
20200424,NC,8052
20200424,ND,748
20200424,NE,2124
20200424,NH,1670
20200424,NJ,102196
20200424,NM,2379
20200424,NV,4398
20200424,NY,271590
20200424,OH,14581
20200424,OK,3121
20200424,OR,2177
20200424,PA,38652
20200424,PR,1276
20200424,RI,6699
20200424,SC,4917
20200424,SD,2040
20200424,TN,8726
20200424,TX,22806
20200424,UT,3782
20200424,VA,11169
20200424,VI,54
20200424,VT,827
20200424,WA,13297
20200424,WI,5356
20200424,WV,988
20200424,WY,349
20200423,AK,337
20200423,AL,5778
20200423,AR,2465
20200423,AS,0
20200423,AZ,5769
20200423,CA,37369
20200423,CO,10878
20200423,CT,23100
20200423,DC,3361
20200423,DE,3308
20200423,FL,28832
20200423,GA,21512
20200423,GU,135
20200423,HI,592
20200423,IA,3924
20200423,ID,1802
20200423,IL,36934
20200423,IN,13039
20200423,KS,2482
20200423,KY,3373
20200423,LA,25739
20200423,MA,47992
20200423,MD,15737
20200423,ME,937
20200423,MI,35291
20200423,MN,2942
20200423,MO,6321
20200423,MP,14
20200423,MS,5153
20200423,MT,442
20200423,NC,7608
20200423,ND,709
20200423,NE,1813
20200423,NH,1588
20200423,NJ,99989
20200423,NM,2210
20200423,NV,4208
20200423,NY,263460
20200423,OH,14142
20200423,OK,3017
20200423,OR,2127
20200423,PA,36647
20200423,PR,915
20200423,RI,6256
20200423,SC,4917
20200423,SD,1956
20200423,TN,8266
20200423,TX,21944
20200423,UT,3612
20200423,VA,10627
20200423,VI,54
20200423,VT,825
20200423,WA,12995
20200423,WI,5052
20200423,WV,967
20200423,WY,326
20200422,AK,335
20200422,AL,5465
20200422,AR,2276
20200422,AS,0
20200422,AZ,5459
20200422,CA,35396
20200422,CO,10447
20200422,CT,22469
20200422,DC,3206
20200422,DE,3200
20200422,FL,28309
20200422,GA,20740
20200422,GU,134
20200422,HI,582
20200422,IA,3748
20200422,ID,1766
20200422,IL,35108
20200422,IN,12438
20200422,KS,2211
20200422,KY,3192
20200422,LA,25258
20200422,MA,44913
20200422,MD,14775
20200422,ME,907
20200422,MI,33966
20200422,MN,2721
20200422,MO,6137
20200422,MP,14
20200422,MS,4894
20200422,MT,439
20200422,NC,7220
20200422,ND,679
20200422,NE,1722
20200422,NH,1491
20200422,NJ,95865
20200422,NM,2072
20200422,NV,4081
20200422,NY,257216
20200422,OH,13609
20200422,OK,2894
20200422,OR,2059
20200422,PA,35045
20200422,PR,915
20200422,RI,5841
20200422,SC,4761
20200422,SD,1858
20200422,TN,7842
20200422,TX,21069
20200422,UT,3445
20200422,VA,10266
20200422,VI,54
20200422,VT,823
20200422,WA,12785
20200422,WI,4845
20200422,WV,939
20200422,WY,322
20200421,AK,329
20200421,AL,5231
20200421,AR,2227
20200421,AS,0
20200421,AZ,5251
20200421,CA,33261
20200421,CO,10106
20200421,CT,20360
20200421,DC,3098
20200421,DE,2931
20200421,FL,27495
20200421,GA,19881
20200421,GU,133
20200421,HI,584
20200421,IA,3641
20200421,ID,1736
20200421,IL,33059
20200421,IN,12097
20200421,KS,2025
20200421,KY,3050
20200421,LA,24854
20200421,MA,43168
20200421,MD,14193
20200421,ME,888
20200421,MI,32967
20200421,MN,2567
20200421,MO,5941
