date,state,positive
407,MN,1069
407,MO,3037
407,MP,8
407,MS,1915
407,MT,319
407,NC,3221
407,ND,237
407,NE,447
407,NH,715
407,NJ,44416
407,NM,686
407,NV,2087
407,NY,138863
407,OH,4782
407,OK,1472
407,OR,1181
407,PA,14559
407,PR,573
407,RI,1230
407,SC,2417
407,SD,320
407,TN,4138
407,TX,8262
407,UT,1738
407,VA,3333
407,VI,43
407,VT,575
407,WA,9043
407,WI,2578
407,WV,412
407,WY,216
406,AK,191
406,AL,1968
406,AR,875
406,AS,0
406,AZ,2456
406,CA,14336
406,CO,4950
406,CT,6906
406,DC,1097
406,DE,673
406,FL,13324
406,GA,7314
406,GU,113
406,HI,371
406,IA,946
406,ID,1101
406,IL,12262
406,IN,4944
406,KS,845
406,KY,955
406,LA,14867
406,MA,13837
406,MD,4045
406,ME,499
406,MI,18850
406,MN,986
406,MO,2722
406,MP,8
406,MS,1738
406,MT,299
406,NC,2870
406,ND,225
406,NE,409
406,NH,669
406,NJ,41090
406,NM,624
406,NV,1953
406,NY,130689
406,OH,4450
406,OK,1327
406,OR,1132
406,PA,12980
406,PR,513
406,RI,1082
406,SC,2049
406,SD,288
406,TN,3802
406,TX,7276
406,UT,1675
406,VA,2878
406,VI,43
406,VT,543
406,WA,8679
406,WI,2440
406,WV,345
406,WY,210
405,AK,185
405,AL,1796
405,AR,830
405,AS,0
405,AZ,2269
405,CA,13438
405,CO,4565
405,CT,5675
405,DC,998
405,DE,673
405,FL,12151
405,GA,6647
405,GU,112
405,HI,351
405,IA,868
405,ID,1077
405,IL,11256
405,IN,4411
405,KS,747
405,KY,917
405,LA,13010
405,MA,12500
405,MD,3609
405,ME,470
405,MI,17567
405,MN,935
405,MO,2367
405,MP,8
405,MS,1638
405,MT,286
405,NC,2585
405,ND,207
405,NE,363
405,NH,621
405,NJ,37505
405,NM,543
405,NV,1836
405,NY,122031
405,OH,4043
405,OK,1252
405,OR,1068
405,PA,11510
405,PR,475
405,RI,922
405,SC,2049
405,SD,240
405,TN,3633
405,TX,6812
405,UT,1605
405,VA,2637
405,VI,42
405,VT,512
405,WA,8332
405,WI,2267
405,WV,324
405,WY,197
404,AK,171
404,AL,1580
404,AR,743
404,AS,0
404,AZ,2019
404,CA,12026
404,CO,4173
404,CT,5276
404,DC,902
404,DE,593
404,FL,11111
404,GA,6160
404,GU,93
404,HI,319
404,IA,786
404,ID,1013
404,IL,10357
404,IN,3953
404,KS,698
404,KY,831
404,LA,12496
404,MA,11736
404,MD,3125
404,ME,456
404,MI,16395
404,MN,865
404,MO,2291
404,MP,8
404,MS,1455
404,MT,265
404,NC,2402
404,ND,186
404,NE,321
404,NH,540
404,NJ,34124
404,NM,495
404,NV,1742
404,NY,113704
404,OH,3739
404,OK,1159
404,OR,999
404,PA,10017
404,PR,452
404,RI,806
404,SC,1917
404,SD,212
404,TN,3321
404,TX,6110
404,UT,1428
404,VA,2407
404,VI,40
404,VT,461
404,WA,7934
404,WI,2112
404,WV,282
404,WY,187
403,AK,157
403,AL,1432
403,AR,704
403,AS,0
403,AZ,1769
403,CA,10701
403,CO,3728
403,CT,4914
403,DC,757
403,DE,450
403,FL,9585
403,GA,5831
403,GU,84
403,HI,285
403,IA,699
403,ID,891
403,IL,8904
403,IN,3437
403,KS,620
403,KY,770
403,LA,10297
403,MA,10402
403,MD,2758
403,ME,432
403,MI,15252
403,MN,789
403,MO,2113
403,MP,8
403,MS,1358
403,MT,243
403,NC,2093
403,ND,173
403,NE,279
403,NH,479
403,NJ,29895
403,NM,403
403,NV,1514
403,NY,102863
403,OH,3312
403,OK,988
403,OR,899
403,PA,8420
403,PR,378
403,RI,709
403,SC,1554
403,SD,187
403,TN,3067
403,TX,5330
403,UT,1246
403,VA,2012
403,VI,38
403,VT,389
403,WA,7548
403,WI,1912
403,WV,237
403,WY,162
402,AK,143
402,AL,1233
402,AR,643
402,AS,0
402,AZ,1598
402,CA,9191
402,CO,3342
402,CT,3824
402,DC,653
402,DE,393
402,FL,8010
402,GA,5348
402,GU,82
402,HI,258
402,IA,614
402,ID,669
402,IL,7695
402,IN,3039
402,KS,552
402,KY,680
402,LA,9150
402,MA,8966
402,MD,2331
402,ME,376
402,MI,14117
402,MN,742
402,MO,1834
402,MP,8
402,MS,1177
402,MT,227
402,NC,1857
402,ND,159
402,NE,246
402,NH,415
402,NJ,25590
402,NM,363
402,NV,1458
402,NY,92381
402,OH,2902
402,OK,879
402,OR,826
402,PA,7016
402,PR,316
402,RI,657
402,SC,1554
402,SD,165
402,TN,2845
402,TX,4669
402,UT,1074
402,VA,1706
402,VI,33
402,VT,338
402,WA,6962
402,WI,1730
402,WV,217
402,WY,150
401,AK,133
401,AL,1077
401,AR,584
401,AS,0
401,AZ,1413
401,CA,8155
401,CO,2966
401,CT,3557
401,DC,586
401,DE,368
401,FL,6955
401,GA,4638
401,GU,77
401,HI,208
401,IA,549
401,ID,525
401,IL,6980
401,IN,2565
401,KS,482
401,KY,591
401,LA,6424
401,MA,7738
401,MD,1985
401,ME,344
401,MI,12888
401,MN,689
401,MO,1581
401,MP,6
401,MS,1073
401,MT,208
401,NC,1584
401,ND,142
401,NE,210
401,NH,415
401,NJ,22255
401,NM,315
401,NV,1279
401,NY,83712
401,OH,2547
401,OK,719
401,OR,736
401,PA,5805
401,PR,286
401,RI,566
401,SC,1293
401,SD,129
401,TN,2683
401,TX,3997
401,UT,1012
401,VA,1484
401,VI,30
401,VT,321
401,WA,6593
401,WI,1550
401,WV,191
401,WY,130
331,AK,119
331,AL,981
331,AR,523
331,AS,0
331,AZ,1289
331,CA,7482
331,CO,2627
331,CT,3128
331,DC,495
331,DE,319
331,FL,6338
331,GA,3929
331,GU,69
331,HI,204
331,IA,497
331,ID,415
331,IL,5994
331,IN,2159
331,KS,428
331,KY,480
