date positiveIncrease increase_rate
0228 7.0 28.57142857142858
0229 9.0 33.33333333333333
0301 12.0 8.333333333333325
0302 13.0 215.3846153846154
0303 41.0 -12.195121951219512
0304 36.0 80.55555555555556
0305 65.0 67.6923076923077
0306 109.0 35.779816513761475
0307 148.0 23.64864864864864
0308 183.0 59.56284153005464
0309 292.0 -8.56164383561644
0310 267.0 46.81647940074907
0311 392.0 17.85714285714286
0312 462.0 86.58008658008657
0313 862.0 -12.412993039443155
0314 755.0 43.57615894039735
0315 1084.0 17.896678966789658
0316 1278.0 68.85758998435054
0317 2158.0 19.416126042632076
0318 2577.0 62.90259992239038
0319 4198.0 37.613149118627916
0320 5777.0 13.069066989787093
0321 6532.0 37.20146968769136
0322 8962.0 19.1586699397456
0323 10679.0 -4.803820582451546
0324 10166.0 20.93252016525673
0325 12294.0 40.84919472913617
0326 17316.0 7.83668283668284
0327 18673.0 3.641621592673916
0328 19353.0 0.6665633235157342
0329 19482.0 8.941587106046601
0330 21224.0 15.326988315114964
0331 24477.0 2.867998529231519
0401 25179.0 11.43413161761786
0402 28058.0 14.045904911255258
0403 31999.0 4.747023344479517
0404 33518.0 -22.531177277880545
0405 25966.0 10.710159439266743
0406 28747.0 5.781472849340807
0407 30409.0 -0.7826630273932045
0408 30171.0 13.403599482947204
0409 34215.0 0.9674119538214176
0410 34546.0 -13.503734151566027
0411 29881.0 -2.2154546367256778
0412 29219.0 -14.545330093432352
0413 24969.0 3.300092114221642
0414 25793.0 18.032024192610407
0415 30444.0 1.8821442648797815
0416 31017.0 1.982783634780927
0417 31632.0 -11.43462316641376
0418 28015.0 -1.799036230590756
0419 27511.0 -8.64745011086474
0420 25132.0 3.0996339328346334
0421 25911.0 7.649260931650659
0422 27893.0 13.164593267127955
0423 31565.0 9.35529859021067
0424 34518.0 4.108001622341972
0425 35936.0 -24.82190560997328
0426 27016.0 -19.025762511104528
0427 21876.0 11.802889010788075
0428 24458.0 12.703409927222186
0429 27565.0 1.3749319789588155
0430 27944.0 0.001
